Symbol,Name,Price_intraday,Change,Change_pct,YTD_Return,Three_Months_Return,One_Year_Return,Three_Year_Return,Five_Year_Return,Net_Assets,50_Day_Avg,200_Day_Avg,Morningstar Rating
MISIX,Victory Trivalent International Small-Cap Fund,14.91,+0.05,+0.34%,+0.07%,-5.71%,+15.45%,+12.39%,+27.88%,3.407B,15.28,15.52,4 stars
MISAX,Victory Trivalent International Small-Cap Fund,14.80,+0.05,+0.34%,0.00%,-5.82%,+15.06%,+11.94%,+27.27%,3.407B,15.14,15.37,4 stars
MCISX,Victory Trivalent International Sm-Cp C,14.39,+0.04,+0.28%,+0.07%,-5.96%,+14.10%,+11.11%,+26.39%,3.407B,14.63,14.85,3 stars
GQRIX,GQG Partners Global Quality Equity Instl,18.87,+0.01,+0.05%,+1.23%,-1.78%,+19.79%,+17.13%,0.00%,3.407B,19.92,19.98,5 stars
GQRRX,GQG Partners Global Quality Equity R6,18.86,+0.01,+0.05%,+1.18%,-1.83%,+19.80%,+17.05%,0.00%,3.407B,19.91,19.97,5 stars
GQRPX,GQG Partners Global Quality Equity Inv,18.79,+0.01,+0.05%,+1.19%,-1.86%,+19.57%,+16.94%,0.00%,3.407B,19.82,19.89,4 stars
THLCX,Thrivent Large Cap Growth Fund,21.94,-0.16,-0.72%,+1.70%,+4.38%,+46.43%,+22.55%,+32.05%,3.391B,22.64,21.32,4 stars
AAAGX,Thrivent Large Cap Growth A,18.31,-0.13,-0.70%,+1.71%,+4.32%,+46.09%,+22.15%,+31.61%,3.391B,19.00,17.97,3 stars
DFSPX,DFA Intl Sustainability Core 1,12.56,+0.07,+0.56%,+0.08%,-4.79%,+18.35%,+12.11%,+24.21%,3.39B,12.74,12.92,4 stars
FBMCX,Franklin Managed Income C,12.28,+0.04,+0.33%,+0.41%,-2.99%,+6.86%,+14.29%,+17.07%,3.385B,12.54,12.51,2 stars
FBFRX,Franklin Managed Income R6,12.46,+0.05,+0.40%,+0.40%,-2.76%,+7.98%,+15.54%,+18.39%,3.385B,12.72,12.68,3 stars
FBLAX,Franklin Managed Income A,12.42,+0.04,+0.32%,+0.41%,-2.77%,+7.63%,+15.15%,+17.89%,3.385B,12.68,12.64,2 stars
FBFQX,Franklin Managed Income R,12.46,+0.04,+0.32%,+0.40%,-2.82%,+7.36%,+14.83%,+17.66%,3.385B,12.73,12.69,2 stars
FBFZX,Franklin Managed Income Adv,12.45,+0.04,+0.32%,+0.40%,-2.78%,+7.89%,+15.46%,+18.31%,3.385B,12.72,12.68,3 stars
LWACX,Western Asset Core Bond C1,10.33,+0.03,+0.29%,-1.25%,-2.89%,+4.88%,-2.48%,+9.72%,3.372B,10.47,10.60,1 star
WABRX,Western Asset Core Bond R,10.37,+0.03,+0.29%,-1.23%,-2.82%,+5.11%,-2.50%,+9.68%,3.372B,10.48,10.59,2 stars
WABCX,Western Asset Core Bond C,10.36,+0.02,+0.19%,-1.24%,-2.82%,+4.70%,-2.88%,+9.27%,3.372B,10.48,10.58,1 star
WATFX,Western Asset Core Bond I,10.36,+0.02,+0.19%,-1.11%,-3.01%,+5.89%,-1.84%,+10.44%,3.372B,10.47,10.58,2 stars
WAPIX,Western Asset Core Bond FI,10.37,+0.03,+0.29%,-1.22%,-2.65%,+5.45%,-2.18%,+10.13%,3.372B,10.48,10.59,2 stars
WACSX,Western Asset Core Bond IS,10.38,+0.03,+0.29%,-1.20%,-3.00%,+5.82%,-1.80%,+10.55%,3.372B,10.49,10.59,3 stars
WABAX,Western Asset Core Bond A,10.36,+0.03,+0.29%,-1.12%,-2.65%,+5.51%,-2.20%,+10.03%,3.372B,10.47,10.58,2 stars
SEQUX,Sequoia,185.57,+0.56,+0.30%,+0.82%,-0.24%,+27.83%,+25.48%,+29.13%,3.367B,188.69,183.85,2 stars
PARAX,T. Rowe Price Retirement 2010 Advisor,15.18,+0.03,+0.20%,+0.60%,-0.64%,+12.08%,+8.49%,+15.85%,3.364B,15.62,15.41,5 stars
RRTAX,T. Rowe Price Retirement 2010 R,15.02,+0.02,+0.13%,+0.60%,-0.65%,+11.85%,+8.22%,+15.57%,3.364B,15.45,15.24,4 stars
TRRAX,T. Rowe Price Retirement 2010,15.28,+0.03,+0.20%,+0.59%,-0.54%,+12.46%,+8.75%,+16.16%,3.364B,15.74,15.52,5 stars
TRPUX,T. Rowe Price Retirement 2010 I,15.27,+0.03,+0.20%,+9.29%,+2.83%,--,--,--,3.364B,15.77,15.54,0 star
PMUPX,PIMCO Municipal Bond I2,9.33,+0.01,+0.11%,-0.62%,-1.40%,+8.29%,+2.45%,+8.27%,3.349B,9.45,9.47,4 stars
PFMIX,PIMCO Municipal Bond Instl,9.33,+0.01,+0.11%,-0.63%,-1.38%,+8.40%,+2.55%,+8.38%,3.349B,9.45,9.47,5 stars
PMLAX,PIMCO Municipal Bond A,9.33,+0.01,+0.11%,-0.63%,-1.45%,+8.06%,+2.23%,+8.04%,3.349B,9.45,9.47,4 stars
PMUNX,PIMCO Municipal Bond I-3,9.33,+0.01,+0.11%,+3.04%,+0.13%,-10.63%,+5.88%,+1.38%,3.349B,9.45,9.47,4 stars
PMLCX,PIMCO Municipal Bond C,9.33,+0.01,+0.11%,-0.65%,-1.57%,+7.53%,+1.72%,+7.51%,3.349B,9.45,9.47,2 stars
ALVCX,American Beacon Large Cap Value C,22.45,+0.12,+0.54%,+2.06%,-0.78%,+12.19%,+26.65%,+28.29%,3.342B,24.53,24.19,3 stars
ALVAX,American Beacon Large Cap Value A,22.44,+0.13,+0.58%,+2.06%,-0.62%,+13.05%,+27.59%,+29.16%,3.342B,24.72,24.40,3 stars
ABLYX,American Beacon Large Cap Value Y,26.64,+0.14,+0.53%,+2.08%,-0.50%,+13.35%,+27.88%,+29.60%,3.342B,28.94,28.42,3 stars
AALRX,American Beacon Large Cap Value R6,27.01,+0.15,+0.56%,+2.09%,-0.49%,+13.48%,+27.98%,+29.67%,3.342B,29.38,28.79,4 stars
AAGPX,American Beacon Large Cap Value Inv,23.13,+0.13,+0.57%,+2.09%,-0.57%,+13.07%,+27.54%,+29.18%,3.342B,25.40,25.04,3 stars
AVASX,American Beacon Large Cap Value Adv,22.48,+0.12,+0.54%,+2.10%,-0.59%,+12.87%,+27.37%,+29.01%,3.342B,24.72,24.39,3 stars
AADEX,American Beacon Large Cap Value R5,27.02,+0.15,+0.56%,+2.09%,-0.50%,+13.44%,+27.98%,+29.67%,3.342B,29.33,28.79,4 stars
NDVTX,MFS New Discovery Value R3,18.39,+0.09,+0.49%,+1.39%,+0.17%,+10.92%,+33.44%,+33.34%,3.329B,19.21,18.48,4 stars
NDVCX,MFS New Discovery Value C,16.87,+0.09,+0.54%,+1.33%,-0.06%,+10.08%,+32.47%,+32.28%,3.329B,17.61,16.96,3 stars
NDVUX,MFS New Discovery Value R4,18.59,+0.09,+0.49%,+1.37%,+0.23%,+11.21%,+33.75%,+33.66%,3.329B,19.42,18.69,4 stars
NDVSX,MFS New Discovery Value R2,18.14,+0.10,+0.55%,+1.35%,+0.09%,+10.67%,+33.14%,+33.07%,3.329B,18.93,18.21,3 stars
NDVBX,MFS New Discovery Value B,17.02,+0.08,+0.47%,+1.38%,-0.01%,+10.12%,+32.49%,+32.28%,3.329B,17.76,17.10,3 stars
NDVVX,MFS New Discovery Value R6,18.63,+0.10,+0.54%,+1.37%,+0.25%,+11.30%,+33.97%,+33.76%,3.329B,19.47,18.72,4 stars
NDVRX,MFS New Discovery Value R1,16.95,+0.09,+0.53%,+1.32%,-0.07%,+10.06%,+32.42%,+32.28%,3.329B,17.69,17.05,3 stars
NDVAX,MFS New Discovery Value A,18.35,+0.09,+0.49%,+1.39%,+0.14%,+10.94%,+33.45%,+33.27%,3.329B,19.16,18.44,4 stars
NDVIX,MFS New Discovery Value I,18.55,+0.09,+0.49%,+1.37%,+0.23%,+11.23%,+33.74%,+33.62%,3.329B,19.38,18.65,4 stars
DFVQX,DFA International Vector Equity I,13.58,+0.03,+0.22%,+0.37%,-4.18%,+17.01%,+15.06%,+20.85%,3.329B,13.77,14.04,4 stars
PSRAX,Pioneer Strategic Income A,9.40,+0.03,+0.32%,-0.04%,-1.73%,+8.11%,+2.15%,+10.18%,3.319B,9.51,9.53,2 stars
STRKX,Pioneer Strategic Income K,9.42,+0.03,+0.32%,-0.02%,-1.61%,+8.61%,+2.66%,+10.65%,3.319B,9.53,9.54,3 stars
STRYX,Pioneer Strategic Income Y,9.41,+0.03,+0.32%,-0.02%,-1.64%,+8.51%,+2.56%,+10.55%,3.319B,9.52,9.53,3 stars
STIRX,Pioneer Strategic Income R,9.57,+0.02,+0.21%,-0.04%,-1.84%,+7.80%,+1.84%,+9.92%,3.319B,9.69,9.70,2 stars
PSRCX,Pioneer Strategic Income C,9.19,+0.03,+0.33%,-0.06%,-1.95%,+7.39%,+1.50%,+9.44%,3.319B,9.30,9.31,1 star
BATAX,BlackRock Allocation Target Shrs Ser A,9.48,+0.02,+0.21%,+0.32%,+1.31%,+8.59%,+2.66%,+6.79%,3.301B,9.49,9.46,5 stars
HAINX,Harbor International Institutional,44.38,+0.31,+0.70%,-0.43%,-5.48%,+16.12%,+9.52%,+22.52%,3.29B,46.29,47.21,3 stars
HIINX,Harbor International Investor,44.00,+0.30,+0.69%,-0.46%,-5.56%,+15.73%,+9.11%,+22.05%,3.29B,45.80,46.72,3 stars
HNINX,Harbor International Retirement,44.17,+0.31,+0.71%,-0.43%,-5.46%,+16.23%,+9.60%,+22.63%,3.29B,46.17,47.03,4 stars
HRINX,Harbor International Administrative,44.88,+0.31,+0.70%,-0.45%,-5.53%,+15.85%,+9.24%,+22.19%,3.29B,46.73,47.65,3 stars
HIADX,Hartford Dividend and Growth HLS IA,23.90,+0.04,+0.17%,+2.05%,-1.14%,+14.18%,+32.00%,+28.60%,3.289B,24.42,24.50,4 stars
HDGBX,Hartford Dividend and Growth HLS IB,23.65,+0.04,+0.17%,+1.99%,-1.21%,+13.89%,+31.68%,+28.30%,3.289B,24.14,24.23,4 stars
AASMX,Thrivent Small Cap Stock A,23.92,+0.15,+0.63%,+1.62%,-0.37%,+12.20%,+24.10%,+27.38%,3.281B,24.60,23.45,4 stars
TSCSX,Thrivent Small Cap Stock S,32.99,+0.21,+0.64%,+1.64%,-0.29%,+12.47%,+24.43%,+27.78%,3.281B,33.83,32.18,5 stars
VGRLX,Vanguard Global ex-US Real Est Idx Adm,23.72,+0.10,+0.42%,-1.21%,-9.29%,+6.22%,+5.71%,+21.27%,3.267B,25.22,25.84,2 stars
VGRNX,Vanguard Global ex-US Real Est Idx Ins,78.96,+0.36,+0.46%,-1.22%,-9.31%,+6.39%,+5.69%,+21.27%,3.267B,83.95,86.04,2 stars
SEFCX,SEI International Equity Y (SIT),11.18,+0.03,+0.27%,+1.00%,-3.92%,+18.34%,+10.13%,+22.74%,3.262B,12.13,12.45,4 stars
SEITX,SEI International Equity F (SIT),11.20,+0.03,+0.27%,+0.99%,-3.95%,+18.13%,+9.96%,+22.41%,3.262B,12.09,12.44,4 stars
SEEIX,SEI International Equity I (SIT),11.24,+0.03,+0.27%,+0.90%,-4.02%,+17.79%,+9.67%,+22.17%,3.262B,12.12,12.47,4 stars
FIQOX,Fidelity Advisor Worldwide Z,35.82,+0.05,+0.14%,+2.32%,+1.86%,+25.10%,+18.76%,+29.08%,3.251B,38.29,37.59,4 stars
FWWFX,Fidelity Worldwide Fund,35.65,+0.04,+0.11%,+2.33%,+1.86%,+24.95%,+18.68%,+28.92%,3.251B,38.37,37.90,4 stars
FWTFX,Fidelity Worldwide Fund,34.52,+0.04,+0.12%,+2.28%,+1.71%,+24.27%,+17.99%,+28.17%,3.251B,37.17,36.77,4 stars
FWIFX,Fidelity Worldwide Fund,35.32,+0.04,+0.11%,+2.32%,+1.85%,+24.91%,+18.62%,+28.89%,3.251B,38.04,37.59,4 stars
FWAFX,Fidelity Worldwide Fund,34.91,+0.04,+0.11%,+2.32%,+1.78%,+24.61%,+18.32%,+28.53%,3.251B,37.60,37.17,4 stars
FWCFX,Fidelity Worldwide Fund,32.62,+0.04,+0.12%,+2.26%,+1.58%,+23.61%,+17.39%,+27.49%,3.251B,35.20,34.90,4 stars
LZOEX,Lazard Emerging Markets Equity Open,18.88,-0.02,-0.11%,+1.83%,-5.06%,+22.03%,+5.13%,+17.73%,3.237B,19.30,19.36,3 stars
RLEMX,Lazard Emerging Markets Equity R6,18.24,-0.02,-0.11%,+1.84%,-5.02%,+22.37%,+5.44%,+17.98%,3.237B,18.70,18.75,4 stars
LZEMX,Lazard Emerging Markets Equity Instl,18.23,-0.02,-0.11%,+1.84%,-5.03%,+22.39%,+5.38%,+18.04%,3.237B,18.67,18.74,3 stars
PSJIX,Principal Short-Term Income J,11.98,+0.01,+0.08%,+0.13%,+0.32%,+5.80%,-0.82%,+4.61%,3.236B,11.98,11.94,3 stars
PSHIX,Principal Short-Term Income Inst,11.98,+0.01,+0.08%,+0.05%,+0.36%,+5.99%,-0.63%,+4.86%,3.236B,11.98,11.94,3 stars
PSIOX,Principal Short-Term Income R3,11.99,+0.01,+0.08%,+0.03%,+0.23%,+5.43%,-1.25%,+4.28%,3.236B,11.99,11.95,2 stars
STCCX,Principal Short-Term Income C,11.99,+0.01,+0.08%,+0.01%,+0.08%,+4.70%,-1.79%,+3.56%,3.236B,11.99,11.96,1 star
PSIQX,Principal Short-Term Income R5,11.99,+0.01,+0.08%,+0.04%,+0.31%,+5.84%,-0.87%,+4.52%,3.236B,11.99,11.95,3 stars
SWLGX,Schwab US Large-Cap Growth Idx,118.96,-0.89,-0.74%,+0.86%,+6.74%,+42.66%,+27.53%,+36.29%,3.231B,119.15,109.04,4 stars
RUSTX,Russell Investments U.S. Strategic Equity Fund,16.70,-0.02,-0.12%,+1.77%,+2.36%,+26.62%,+20.71%,+30.04%,3.227B,17.93,17.31,3 stars
RSECX,Russell Inv US Strategic Equity C,16.28,-0.03,-0.18%,+1.75%,+2.10%,+25.15%,+19.29%,+28.70%,3.227B,17.50,16.93,2 stars
RSESX,Russell Inv US Strategic Equity S,16.72,-0.03,-0.18%,+1.76%,+2.33%,+26.53%,+20.55%,+29.88%,3.227B,17.95,17.34,2 stars
RSEAX,Russell Inv US Strategic Equity A,16.68,-0.02,-0.12%,+1.71%,+2.26%,+26.12%,+20.23%,+29.58%,3.227B,17.90,17.29,2 stars
PCUFX,PGIM Jennison Utility C,15.50,+0.40,+2.65%,+1.89%,+0.27%,-4.62%,+14.08%,+26.09%,3.218B,16.03,15.13,3 stars
PRUZX,PGIM Jennison Utility Z,15.75,+0.40,+2.61%,+1.99%,+0.57%,-3.62%,+15.26%,+27.33%,3.218B,16.28,15.36,4 stars
PRUQX,PGIM Jennison Utility R6,15.72,+0.41,+2.68%,+1.93%,+0.52%,-3.57%,+15.28%,+27.46%,3.218B,16.26,15.32,4 stars
JDURX,PGIM Jennison Utility R,15.64,+0.40,+2.62%,+1.94%,+0.38%,-4.09%,+14.64%,+26.59%,3.218B,16.17,15.26,3 stars
PRUAX,PGIM Jennison Utility A,15.67,+0.41,+2.69%,+1.94%,+0.45%,-3.84%,+14.94%,+27.05%,3.218B,16.20,15.28,3 stars
JDICX,JHancock Disciplined Value Intl C,13.13,+0.04,+0.31%,+1.08%,-8.15%,+17.94%,+11.76%,+14.22%,3.215B,14.31,15.34,3 stars
JDIVX,JHancock Disciplined Value Intl NAV,13.13,+0.05,+0.38%,+1.08%,-7.92%,+19.27%,+13.04%,+15.47%,3.215B,14.41,15.44,4 stars
JDIBX,JHancock Disciplined Value Intl A,13.13,+0.05,+0.38%,+1.00%,-8.06%,+18.87%,+12.62%,+15.06%,3.215B,14.38,15.40,3 stars
JDITX,JHancock Disciplined Value Intl R4,13.13,+0.04,+0.31%,+1.08%,-7.99%,+18.97%,+12.66%,+15.17%,3.215B,14.40,15.42,3 stars
JDVIX,JHancock Disciplined Value Intl I,13.14,+0.04,+0.31%,+1.08%,-7.90%,+19.13%,+12.90%,+15.44%,3.215B,14.41,15.44,3 stars
JDIUX,JHancock Disciplined Value Intl R6,13.13,+0.04,+0.31%,+1.08%,-7.91%,+19.34%,+13.03%,+15.56%,3.215B,14.42,15.44,4 stars
JDISX,JHancock Disciplined Value Intl R2,13.16,+0.04,+0.30%,+1.08%,-8.04%,+18.74%,+12.41%,+15.02%,3.215B,14.40,15.43,3 stars
JDIRX,Janus Henderson Overseas R,45.11,+0.50,+1.12%,-0.62%,-4.45%,+10.26%,+12.45%,+26.39%,3.215B,45.60,46.79,4 stars
JIGCX,Janus Henderson Overseas C,44.87,+0.50,+1.13%,-0.65%,-4.54%,+9.93%,+11.81%,+25.74%,3.215B,45.27,46.41,3 stars
JAOSX,Janus Henderson Overseas T,45.38,+0.51,+1.14%,-0.62%,-4.32%,+10.81%,+13.04%,+27.01%,3.215B,45.96,47.20,4 stars
JIGRX,Janus Henderson Overseas S,45.40,+0.50,+1.11%,-0.62%,-4.38%,+10.52%,+12.73%,+26.71%,3.215B,45.96,47.17,4 stars
JDINX,Janus Henderson Overseas N,45.17,+0.51,+1.14%,-0.60%,-4.28%,+11.06%,+13.29%,+27.30%,3.215B,45.83,47.04,4 stars
JIGFX,Janus Henderson Overseas I,45.40,+0.50,+1.11%,-0.60%,-4.29%,+10.94%,+13.19%,+27.22%,3.215B,46.01,47.26,4 stars
JNOSX,Janus Henderson Overseas D,45.30,+0.51,+1.14%,-0.62%,-4.30%,+10.93%,+13.12%,+27.12%,3.215B,45.89,47.13,4 stars
JDIAX,Janus Henderson Overseas A,45.68,+0.50,+1.11%,-0.62%,-4.36%,+10.61%,+12.82%,+26.76%,3.215B,46.24,47.47,4 stars
PSCHX,PGIM Jennison Small Company R2,24.02,+0.17,+0.71%,+1.58%,+2.37%,+11.46%,+28.90%,+28.30%,3.205B,24.44,22.89,4 stars
PJSQX,PGIM Jennison Small Company R6,24.80,+0.17,+0.69%,+1.57%,+2.50%,+12.02%,+29.54%,+28.99%,3.205B,25.31,23.70,4 stars
JSCRX,PGIM Jennison Small Company R,19.89,+0.14,+0.71%,+1.54%,+2.31%,+11.29%,+28.74%,+28.19%,3.205B,20.31,19.05,4 stars
PSCZX,PGIM Jennison Small Company Z,25.50,+0.19,+0.75%,+1.52%,+2.45%,+11.85%,+29.40%,+28.80%,3.205B,25.98,24.33,4 stars
PSCJX,PGIM Jennison Small Company R4,24.42,+0.17,+0.70%,+1.55%,+2.43%,+11.74%,+29.23%,+28.69%,3.205B,24.88,23.30,4 stars
PSCCX,PGIM Jennison Small Company C,28.66,+0.20,+0.70%,+1.50%,+2.13%,+10.58%,+27.96%,+27.55%,3.205B,29.10,27.26,3 stars
PGOAX,PGIM Jennison Small Company Fund,21.37,+0.15,+0.71%,+1.53%,+2.36%,+11.48%,+29.01%,+28.30%,3.205B,21.81,20.45,4 stars
JTAIX,JHancock Multimanager Lifestyle Agrsv I,14.72,+0.03,+0.20%,+1.24%,-0.25%,+17.74%,+16.66%,+25.38%,3.202B,15.16,14.65,3 stars
JQLAX,JHancock Multimanager Lifestyle Agrsv R2,14.61,+0.03,+0.21%,+1.18%,-0.37%,+17.16%,+16.19%,+24.76%,3.202B,15.01,14.51,3 stars
JCLAX,JHancock Multimanager Lifestyle Agrsv C,14.83,+0.04,+0.27%,+1.16%,-0.55%,+16.52%,+15.51%,+24.03%,3.202B,15.16,14.67,2 stars
JSLAX,JHancock Multimanager Lifestyle Agrsv R4,14.68,+0.03,+0.20%,+1.17%,-0.32%,+17.54%,+16.53%,+25.16%,3.202B,15.10,14.60,3 stars
JTLAX,JHancock Multimanager Lifestyle Agrsv R5,14.74,+0.03,+0.20%,+1.24%,-0.26%,+17.68%,+16.76%,+25.36%,3.202B,15.18,14.67,3 stars
JALAX,JHancock Multimanager Lifestyle Agrsv A,14.80,+0.04,+0.27%,+1.17%,-0.34%,+17.32%,+16.33%,+24.92%,3.202B,15.20,14.70,3 stars
JULAX,JHancock Multimanager Lifestyle Agrsv R6,14.73,+0.04,+0.27%,+1.17%,-0.28%,+17.84%,+16.77%,+25.41%,3.202B,15.17,14.66,3 stars
JILAX,JHancock Multimanager Lifestyle Agrsv 1,14.68,+0.03,+0.20%,+1.24%,-0.26%,+17.76%,+16.70%,+25.41%,3.202B,15.12,14.61,3 stars
DODLX,Dodge & Cox Global Bond Fund,10.53,+0.01,+0.10%,+0.10%,-3.23%,+12.31%,-0.85%,+12.23%,3.196B,10.76,10.89,5 stars
DOXLX,Dodge & Cox Global Bond X,10.53,+0.01,+0.10%,+1.67%,-1.95%,+12.31%,-0.85%,+12.23%,3.196B,10.76,10.89,5 stars
AGDIX,AB High Income I,7.04,+0.01,+0.14%,+0.43%,+1.32%,+14.54%,+5.30%,+14.09%,3.19B,7.05,6.98,3 stars
AGDAX,AB High Income A,7.02,+0.01,+0.14%,+0.42%,+1.11%,+14.33%,+4.92%,+13.67%,3.19B,7.03,6.96,3 stars
AGDZX,AB High Income Z,7.04,+0.01,+0.14%,+0.43%,+1.33%,+14.81%,+5.35%,+14.17%,3.19B,7.04,6.98,3 stars
AGDCX,AB High Income C,7.10,+0.01,+0.14%,+0.24%,+0.88%,+13.30%,+3.94%,+12.79%,3.19B,7.11,7.05,2 stars
AGDYX,AB High Income Advisor,7.03,+0.01,+0.14%,+0.43%,+1.18%,+14.59%,+5.18%,+13.93%,3.19B,7.04,6.97,3 stars
ITAAX,Transamerica Short-Term Bond A,9.98,+0.01,+0.10%,+0.16%,+0.52%,+5.32%,+0.02%,+5.11%,3.188B,9.97,9.96,3 stars
TSTIX,Transamerica Short-Term Bond I,9.81,+0.01,+0.10%,+0.07%,+0.56%,+5.58%,+0.30%,+5.26%,3.188B,9.81,9.80,4 stars
TASTX,Transamerica Short-Term Bond R6,9.81,+0.01,+0.10%,+0.07%,+0.59%,+5.68%,+0.39%,+5.48%,3.188B,9.80,9.79,4 stars
ITACX,Transamerica Short-Term Bond C,9.96,+0.01,+0.10%,+0.03%,+0.33%,+4.51%,-0.76%,+4.29%,3.188B,9.96,9.95,2 stars
TAAQX,Transam Short-Term Bond I3,9.80,+0.01,+0.10%,+3.50%,+0.23%,+5.58%,+0.30%,+5.26%,3.188B,9.79,9.78,4 stars
TAASX,Transam Short-Term Bond R,9.98,+0.01,+0.10%,+3.50%,+0.23%,+5.58%,+0.30%,+5.26%,3.188B,9.97,9.96,4 stars
TAAUX,Transam Short-Term Bond R4,9.98,+0.01,+0.10%,+3.50%,+0.23%,+5.58%,+0.30%,+5.26%,3.188B,9.97,9.96,4 stars
FOTKX,Fidelity Freedom 2010 Fund,13.89,+0.03,+0.22%,+0.22%,-1.45%,+9.97%,+5.65%,+14.46%,3.187B,14.26,14.12,2 stars
FSNKX,Fidelity Freedom 2010 K,13.98,+0.03,+0.22%,+0.22%,-1.49%,+9.94%,+5.64%,+14.41%,3.187B,14.32,14.19,2 stars
FFFCX,Fidelity Freedom 2010,13.99,+0.03,+0.21%,+0.22%,-1.54%,+9.82%,+5.60%,+14.35%,3.187B,14.33,14.20,3 stars
PTCIX,PIMCO Long-Term Credit Bond Instl,8.63,+0.03,+0.35%,-0.74%,-4.95%,+10.01%,-1.02%,+24.54%,3.184B,8.84,8.93,4 stars
PLCPX,PIMCO Long-Term Credit Bond I-2,8.63,+0.03,+0.35%,-0.73%,-4.96%,+9.91%,-1.11%,+24.41%,3.184B,8.85,8.93,4 stars
PPEAX,Principal LifeTime 2050 A,17.29,+0.05,+0.29%,+1.11%,-0.56%,+19.94%,+16.75%,+26.23%,3.181B,18.13,17.71,2 stars
PTERX,Principal LifeTime 2050 R3,16.85,+0.06,+0.36%,+1.02%,-0.66%,+19.69%,+16.56%,+26.04%,3.181B,17.66,17.27,2 stars
PTEFX,Principal LifeTime 2050 R5,17.08,+0.06,+0.35%,+1.07%,-0.57%,+20.15%,+16.90%,+26.34%,3.181B,17.93,17.51,2 stars
OYRDX,Invesco Rising Dividends Y,26.17,+0.03,+0.11%,+0.85%,+0.68%,+17.90%,+26.97%,+29.91%,3.181B,28.01,27.54,3 stars
OCRDX,Invesco Rising Dividends C,18.58,+0.02,+0.11%,+0.76%,+0.40%,+16.70%,+25.66%,+28.58%,3.181B,20.32,20.23,2 stars
ONRDX,Invesco Rising Dividends R,24.46,+0.02,+0.08%,+0.83%,+0.58%,+17.31%,+26.29%,+29.29%,3.181B,26.27,25.89,2 stars
RSDQX,Invesco Rising Dividends R5,24.70,+0.03,+0.12%,+22.35%,+8.51%,+18.00%,+27.08%,+30.05%,3.181B,26.56,26.12,3 stars
OIRDX,Invesco Rising Dividends R6,26.07,+0.03,+0.12%,+0.81%,+0.70%,+18.00%,+27.08%,+30.05%,3.181B,27.95,27.44,3 stars
OARDX,Invesco Rising Dividends A,24.72,+0.02,+0.08%,+0.82%,+0.64%,+17.60%,+26.64%,+29.56%,3.181B,26.53,26.14,2 stars
SMTRX,ALPS/Smith Total Return Bond Investor,9.54,+0.02,+0.21%,-0.10%,-1.85%,+5.94%,-0.87%,+9.33%,3.18B,9.61,9.65,4 stars
SMCHX,ALPS/Smith Total Return Bond C,9.51,+0.02,+0.21%,-0.21%,-2.03%,+5.19%,-1.58%,+8.54%,3.18B,9.58,9.63,3 stars
SMTHX,ALPS/Smith Total Return Bond I,9.53,+0.02,+0.21%,-0.11%,-1.77%,+6.34%,-0.67%,+9.74%,3.18B,9.60,9.64,4 stars
SMAMX,ALPS/Smith Total Return Bond A,9.54,+0.02,+0.21%,-0.10%,-1.85%,+6.02%,-0.95%,+9.36%,3.18B,9.61,9.65,4 stars
JVTSX,Janus Henderson Venture S,77.63,+0.38,+0.49%,+1.01%,+0.70%,+15.70%,+7.26%,+30.32%,3.172B,81.51,79.07,2 stars
JANVX,Janus Henderson Venture D,84.79,+0.41,+0.49%,+1.03%,+0.81%,+16.14%,+7.67%,+30.79%,3.172B,88.76,85.81,3 stars
JVTNX,Janus Henderson Venture N,87.01,+0.42,+0.49%,+1.03%,+0.83%,+16.28%,+7.79%,+30.98%,3.172B,91.09,87.90,3 stars
JVTIX,Janus Henderson Venture I,85.59,+0.41,+0.48%,+1.03%,+0.81%,+16.17%,+7.69%,+30.87%,3.172B,89.56,86.57,3 stars
JAVTX,Janus Henderson Venture T,82.37,+0.39,+0.48%,+1.02%,+0.78%,+16.00%,+7.54%,+30.65%,3.172B,86.31,83.54,3 stars
JVTAX,Janus Henderson Venture A,79.81,+0.39,+0.49%,+1.00%,+0.73%,+15.88%,+7.43%,+30.51%,3.172B,83.72,81.12,3 stars
JVTCX,Janus Henderson Venture C,66.66,+0.32,+0.48%,+0.99%,+0.55%,+15.22%,+6.63%,+29.62%,3.172B,70.42,68.74,2 stars
PCGPX,Principal SAM Conservative Growth R3,18.23,+0.04,+0.22%,+0.94%,+0.14%,+18.65%,+16.89%,+23.32%,3.171B,19.25,18.76,3 stars
PCWIX,Principal Strategic Asset Management Conservative Growth Portfolio,18.64,+0.04,+0.22%,+0.92%,+0.27%,+19.34%,+17.62%,+23.94%,3.171B,19.72,19.20,4 stars
PCGJX,Principal Strategic Asset Management Conservative Growth Portfolio,18.22,+0.04,+0.22%,+0.94%,+0.21%,+19.18%,+17.42%,+23.77%,3.171B,19.28,18.78,4 stars
PCWPX,Principal Strategic Asset Management Conservative Growth Portfolio,18.46,+0.04,+0.22%,+0.93%,+0.18%,+19.04%,+17.28%,+23.64%,3.171B,19.52,19.01,4 stars
FHZDX,Fidelity Freedom Blend 2035 K,11.96,+0.04,+0.34%,+0.68%,-1.41%,+17.66%,+14.14%,+25.62%,3.168B,12.25,11.96,4 stars
FHJGX,Fidelity Advisor Freedom Blend 2035 A,11.84,+0.03,+0.25%,+0.68%,-1.47%,+17.35%,+13.79%,+25.22%,3.168B,12.12,11.84,3 stars
